epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,83.8722,0.55053,0.44744,1.21152,0.99622,1,0.995,0.83287,0.77614,0.41414,1.40111,0.0010892,0.0010892,0.0010892
140,84.4373,0.66346,0.52841,1.31303,0.99622,1,0.995,0.83287,0.77614,0.41414,1.40111,0.0010826,0.0010826,0.0010826
141,85.0098,0.56694,0.50006,1.23347,0.99701,1,0.995,0.83395,0.73287,0.41321,1.42388,0.001076,0.001076,0.001076
142,85.5568,0.51101,0.46255,1.16195,0.99701,1,0.995,0.83395,0.73287,0.41321,1.42388,0.0010694,0.0010694,0.0010694
143,86.1156,0.58575,0.47263,1.2445,0.99717,1,0.995,0.83803,0.67469,0.40737,1.43223,0.0010628,0.0010628,0.0010628
144,86.653,0.49745,0.44101,1.18726,0.99717,1,0.995,0.83803,0.67469,0.40737,1.43223,0.0010562,0.0010562,0.0010562
145,87.2234,0.56811,0.52792,1.22789,0.99706,1,0.995,0.84684,0.6351,0.40161,1.39223,0.0010496,0.0010496,0.0010496
146,87.7727,0.49469,0.44656,1.1418,0.99706,1,0.995,0.84684,0.6351,0.40161,1.39223,0.001043,0.001043,0.001043
147,88.3393,0.45364,0.40051,1.19173,0.99643,1,0.995,0.84176,0.62159,0.41037,1.36804,0.0010364,0.0010364,0.0010364
148,88.8774,0.52436,0.4711,1.21774,0.99643,1,0.995,0.84176,0.62159,0.41037,1.36804,0.0010298,0.0010298,0.0010298
149,89.4424,0.55576,0.46614,1.34092,0.9956,1,0.995,0.84656,0.59877,0.4366,1.3468,0.0010232,0.0010232,0.0010232
150,89.97,0.5575,0.49036,1.2416,0.9956,1,0.995,0.84656,0.59877,0.4366,1.3468,0.0010166,0.0010166,0.0010166
151,90.5224,0.50609,0.48723,1.22851,0.91318,1,0.98121,0.84523,0.60717,0.50632,1.36652,0.00101,0.00101,0.00101
152,91.0779,0.54618,0.47866,1.23217,0.91318,1,0.98121,0.84523,0.60717,0.50632,1.36652,0.0010034,0.0010034,0.0010034
153,91.6703,0.59909,0.53211,1.33082,0.87056,1,0.96662,0.8277,0.63462,0.60701,1.38771,0.0009968,0.0009968,0.0009968
154,92.1875,0.62109,0.58359,1.32678,0.87056,1,0.96662,0.8277,0.63462,0.60701,1.38771,0.0009902,0.0009902,0.0009902
155,92.7381,0.5149,0.45334,1.18368,0.83398,0.9135,0.95768,0.81413,0.65852,0.61831,1.40254,0.0009836,0.0009836,0.0009836
